Maradona,18690/maradona
Arantes Nascimento,18691/arantes-nascimento
Nazário de Lima,18692/nazario-de-lima
Zidane,18693/zidane
de Assis Moreira,18694/de-assis-moreira
Cruyff,18695/cruyff
Hamm,18696/hamm
Maldini,18697/maldini
Puskás,18698/puskas
Franc. dos Santos,18699/franc-dos-santos
Prinz,18700/prinz
Iniesta Luján,18701/iniesta-lujan
Charlton,18702/charlton
Franz Beckenbauer,18703/franz-beckenbauer
Angerer,18704/angerer
Yashin,18705/yashin
Müller,18706/muller
Antunes Coimbra,18707/antunes-coimbra
Hernández Creus,18708/hernandez-creus
Baggio,18709/baggio
Henry,18710/henry
da Silva Ferreira,18711/da-silva-ferreira
Carlos Alberto Torres,18712/carlos-alberto-torres
Baresi,18713/baresi
Cafu,18714/cafu
Morgan,18715/morgan
Buffon,18716/buffon
van Basten,18717/van-basten
Sawa,18718/sawa
Kahn,18719/kahn
Ibrahimovic,18720/ibrahimovic
da Silva Rocha,18721/da-silva-rocha
Bergkamp,18722/bergkamp
Borba Ferreira,18723/borba-ferreira
Best,18724/best
Gullit,18725/gullit
González Blanco,18726/gonzalez-blanco
Abily,18727/abily
Seger,18728/seger
Pirlo,18729/pirlo
Casillas Fernández,18730/casillas-fernandez
Miyama,18731/miyama
Matthäus,18732/matthaus
Moore,18733/moore
Foudy,18734/foudy
Kroos,18735/kroos
Schelin,18736/schelin
Del Piero,18737/del-piero
Lahm,18738/lahm
Madeira Caeiro Figo,18739/madeira-caeiro-figo
Zanetti,18740/zanetti
Dalglish,18741/dalglish
Nesta,18742/nesta
Sánchez,18743/sanchez
Stoichkov,18744/stoichkov
Ventura Filho,18745/ventura-filho
Shearer,18746/shearer
Vieira da Silva,18747/vieira-da-silva
Smith,18748/smith
Schmeichel,18749/schmeichel
Lineker,18750/lineker
Butragueño Santos,18751/butragueno-santos
Totti,18752/totti
Eto'o,18753/etoo
Cannavaro,18754/cannavaro
Vieira de Oliveira,18755/vieira-de-oliveira
Puyol Saforcada,18756/puyol-saforcada
Drogba,18757/drogba
dos Santos Leite,18758/dos-santos-leite
van Nistelrooy,18759/van-nistelrooy
Cantona,18760/cantona
Jones,18761/jones
Owen,18762/owen
Gerrard,18763/gerrard
Chiellini,18764/chiellini
Cech,18765/cech
Shevchenko,18766/shevchenko
Rooney,18767/rooney
Koeman,18768/koeman
Beckham,18769/beckham
Schweinsteiger,18770/schweinsteiger
Nedved,18771/nedved
Ferdinand,18772/ferdinand
Ribéry,18773/ribery
Pichon,18774/pichon
Scholes,18775/scholes
Klose,18776/klose
Hagi,18777/hagi
Thuram,18778/thuram
Vieira,18779/vieira
van der Sar,18780/van-der-sar
Blanc,18781/blanc
Desailly,18782/desailly
Hierro Ruiz,18783/hierro-ruiz
Laudrup,18784/laudrup
Riquelme,18785/riquelme
van Persie,18786/van-persie
Bale,18787/bale
Torres Sanz,18788/torres-sanz
Pirès,18789/pires
Kluivert,18790/kluivert
Wright,18791/wright
Alonso Olano,18792/alonso-olano
Petit,18793/petit
Lampard,18794/lampard
Rush,18795/rush
Vidic,18796/vidic
Makélélé,18797/makelele
Rijkaard,18798/rijkaard
Šuker,18799/suker
Barnes,18800/barnes
Zola,18801/zola
Verón,18802/veron
Hernández,18803/hernandez
Gattuso,18804/gattuso
Larsson,18805/larsson
Cole,18806/cole
Crespo,18807/crespo
Campbell,18808/campbell
Lima do Amor,18809/lima-do-amor
Zambrotta,18810/zambrotta
Keane,18811/keane
Essien,18812/essien
Cha,18813/cha
